:Data_list: ace_mag_1m.txt
:Created: 2021 Jan 21 1719 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 01 21  1519   59235   55140    0    -0.3    -0.6     0.0     0.6     4.2   246.4
2021 01 21  1520   59235   55200    0    -0.2    -0.6     0.0     0.7     4.1   256.7
2021 01 21  1521   59235   55260    0     0.1    -0.2    -0.2     0.3   -46.0   311.0
2021 01 21  1522   59235   55320    0     0.4     0.6    -0.3     0.8   -24.6    53.2
2021 01 21  1523   59235   55380    0     0.5     0.6    -0.3     0.8   -23.6    50.1
2021 01 21  1524   59235   55440    0     0.3     0.6    -0.3     0.7   -23.2    58.1
2021 01 21  1525   59235   55500    0     0.5     0.8    -0.4     1.1   -24.0    56.2
2021 01 21  1526   59235   55560    0     0.6     1.0    -0.5     1.2   -21.9    59.2
2021 01 21  1527   59235   55620    0     0.5     0.9    -0.5     1.2   -25.2    59.8
2021 01 21  1528   59235   55680    0     0.6     1.0    -0.6     1.3   -26.5    59.7
2021 01 21  1529   59235   55740    0     0.4     0.9    -0.5     1.1   -29.2    66.5
2021 01 21  1530   59235   55800    0     0.2     0.8    -0.5     1.0   -27.6    73.5
2021 01 21  1531   59235   55860    0     0.0     0.7    -0.4     0.8   -31.5    86.0
2021 01 21  1532   59235   55920    0     0.4     1.4    -0.6     1.5   -21.5    73.8
2021 01 21  1533   59235   55980    0     0.6     1.6    -0.6     1.8   -17.9    68.3
2021 01 21  1534   59235   56040    0     0.6     1.8    -0.3     1.9   -10.0    71.3
2021 01 21  1535   59235   56100    0     0.6     2.0     0.1     2.1     4.0    74.6
2021 01 21  1536   59235   56160    0     0.0     2.0     1.1     2.3    28.1    89.5
2021 01 21  1537   59235   56220    0    -0.7     1.7     1.6     2.4    39.7   113.5
2021 01 21  1538   59235   56280    0    -0.9     1.0     1.9     2.3    56.1   131.9
2021 01 21  1539   59235   56340    0    -1.1     0.3     1.7     2.1    56.3   165.2
2021 01 21  1540   59235   56400    0    -1.6    -0.5     1.4     2.2    40.0   196.3
2021 01 21  1541   59235   56460    0    -1.6    -0.7     1.0     2.1    30.0   203.8
2021 01 21  1542   59235   56520    0    -1.6    -0.9     0.8     2.0    23.7   209.2
2021 01 21  1543   59235   56580    0    -2.0    -0.5     1.7     2.6    39.4   193.0
2021 01 21  1544   59235   56640    0    -2.0    -0.5     1.7     2.6    39.2   192.9
2021 01 21  1545   59235   56700    0    -1.9    -0.3     1.6     2.6    39.7   188.8
2021 01 21  1546   59235   56760    0    -1.9    -0.3     1.6     2.5    39.9   190.0
2021 01 21  1547   59235   56820    0    -2.1    -0.5     1.6     2.7    36.9   192.7
2021 01 21  1548   59235   56880    0    -2.1    -0.4     1.7     2.8    38.2   190.6
2021 01 21  1549   59235   56940    0    -1.9    -0.1     1.6     2.5    41.2   183.7
2021 01 21  1550   59235   57000    0    -1.9    -0.3     1.6     2.5    40.7   187.8
2021 01 21  1551   59235   57060    0    -1.8    -0.1     1.8     2.6    43.9   184.4
2021 01 21  1552   59235   57120    0    -1.9    -0.4     1.3     2.3    33.8   191.6
2021 01 21  1553   59235   57180    0    -1.8    -0.3     1.2     2.1    33.9   189.6
2021 01 21  1554   59235   57240    0    -1.9    -0.2     1.7     2.5    41.5   186.2
2021 01 21  1555   59235   57300    0    -2.2    -0.5     2.0     3.0    41.0   191.9
2021 01 21  1556   59235   57360    0    -2.1    -0.1     2.1     3.0    45.4   183.6
2021 01 21  1557   59235   57420    0    -2.1    -0.1     2.1     2.9    45.2   183.0
2021 01 21  1558   59235   57480    0    -2.1     0.1     2.3     3.1    48.2   176.6
2021 01 21  1559   59235   57540    0    -1.9     0.3     2.3     3.0    49.9   170.3
2021 01 21  1600   59235   57600    0    -1.9     0.1     2.1     2.9    47.4   176.7
2021 01 21  1601   59235   57660    0    -2.0     0.0     2.1     2.9    46.8   179.5
2021 01 21  1602   59235   57720    0    -1.9     0.2     2.2     3.0    49.0   174.3
2021 01 21  1603   59235   57780    0    -2.0     0.1     2.1     2.9    47.0   176.5
2021 01 21  1604   59235   57840    0    -1.9     0.0     1.9     2.7    45.5   179.2
2021 01 21  1605   59235   57900    0    -2.0    -0.2     1.9     2.8    42.8   184.7
2021 01 21  1606   59235   57960    0    -1.6     0.1     2.1     2.7    52.0   176.3
2021 01 21  1607   59235   58020    0    -1.7    -0.1     2.1     2.7    51.4   182.0
2021 01 21  1608   59235   58080    0    -1.6     0.0     2.2     2.8    53.4   178.4
2021 01 21  1609   59235   58140    0    -1.7     0.1     2.3     2.9    53.0   178.3
2021 01 21  1610   59235   58200    0    -1.7     0.2     2.4     2.9    54.5   174.0
2021 01 21  1611   59235   58260    0    -1.7     0.4     2.3     2.9    52.9   167.9
2021 01 21  1612   59235   58320    0    -1.6     0.5     2.3     2.9    53.4   163.6
2021 01 21  1613   59235   58380    0    -1.5     1.0     1.6     2.4    41.5   145.3
2021 01 21  1614   59235   58440    0    -1.4     0.7     1.8     2.4    48.2   152.5
2021 01 21  1615   59235   58500    0    -1.4     0.8     1.8     2.5    48.4   149.3
2021 01 21  1616   59235   58560    0    -1.5     0.8     1.9     2.5    47.9   150.1
2021 01 21  1617   59235   58620    0    -1.4     0.9     2.1     2.6    50.7   146.1
2021 01 21  1618   59235   58680    0    -1.5     0.9     2.0     2.6    49.1   150.4
2021 01 21  1619   59235   58740    0    -1.5     0.9     2.0     2.6    47.9   149.2
2021 01 21  1620   59235   58800    0    -1.5     1.0     2.0     2.7    47.4   145.1
2021 01 21  1621   59235   58860    0    -1.3     1.1     2.0     2.6    49.4   141.0
2021 01 21  1622   59235   58920    0    -1.4     1.1     2.0     2.7    48.9   139.7
2021 01 21  1623   59235   58980    0    -1.2     1.1     2.1     2.6    51.6   138.2
2021 01 21  1624   59235   59040    0    -1.2     1.2     2.1     2.7    50.5   135.5
2021 01 21  1625   59235   59100    0    -1.1     1.3     2.0     2.6    49.8   130.0
2021 01 21  1626   59235   59160    0    -1.0     1.3     1.7     2.3    46.5   127.3
2021 01 21  1627   59235   59220    0    -1.1     0.9     1.7     2.2    51.5   140.4
2021 01 21  1628   59235   59280    0    -1.1     0.9     1.7     2.2    49.7   138.9
2021 01 21  1629   59235   59340    0    -0.9     0.9     1.7     2.2    52.4   135.1
2021 01 21  1630   59235   59400    0     0.3     1.4     0.7     1.6    24.2    78.2
2021 01 21  1631   59235   59460    0     0.8     1.4     0.6     1.7    18.6    62.1
2021 01 21  1632   59235   59520    0     1.0     1.4     0.5     1.8    17.4    54.2
2021 01 21  1633   59235   59580    0     1.2     1.1     0.4     1.7    14.6    44.7
2021 01 21  1634   59235   59640    0     1.3     1.0     0.3     1.6     8.9    38.2
2021 01 21  1635   59235   59700    0     1.3     1.1     0.1     1.7     5.0    38.4
2021 01 21  1636   59235   59760    0     1.3     1.1     0.1     1.7     5.1    40.9
2021 01 21  1637   59235   59820    0     1.3     1.2     0.1     1.8     3.0    42.9
2021 01 21  1638   59235   59880    0     1.5     1.0    -0.2     1.8    -4.9    33.1
