id	ACE_date	Bmag	Bx	By	Bz	flg_scstrm	Storm_Onset	Storm_Offset	Bz_minTime	Bz_min
1	2021-03-23 19:00:00	3.01	-1.533	-1.087	-2.268	0	NULL	NULL	NULL	NULL
2	2021-03-23 20:00:00	3.05667	-1.63183	-0.0705	-2.16933	0	NULL	NULL	NULL	NULL
3	2021-03-23 21:00:00	3.59783	-1.63367	1.43067	-2.43333	0	NULL	NULL	NULL	NULL
4	2021-03-23 22:00:00	3.93067	-2.07583	1.1405	-2.43983	0	NULL	NULL	NULL	NULL
5	2021-03-23 23:00:00	3.55183	-1.83133	-1.86533	-2.01333	0	NULL	NULL	NULL	NULL
6	2021-03-24 00:00:00	3.90667	-1.55767	-2.36617	-2.51067	0	NULL	NULL	NULL	NULL
7	2021-03-24 01:00:00	3.47933	-0.952833	-2.73283	-1.4595	0	NULL	NULL	NULL	NULL
8	2021-03-24 02:00:00	2.78633	-0.646167	-1.81067	-1.71767	0	NULL	NULL	NULL	NULL
9	2021-03-24 03:00:00	1.1655	-0.645167	-0.377167	-0.4895	0	NULL	NULL	NULL	NULL
10	2021-03-24 04:00:00	1.85867	1.20883	0.319167	-0.0141667	0	NULL	NULL	NULL	NULL
11	2021-03-24 05:00:00	4.92083	-2.132	3.38217	-2.63167	0	NULL	NULL	NULL	NULL
12	2021-03-24 06:00:00	5.003	-2.54917	2.9275	-3.105	0	NULL	NULL	NULL	NULL
13	2021-03-24 07:00:00	4.9935	-2.703	2.4155	-3.2745	0	NULL	NULL	NULL	NULL
14	2021-03-24 08:00:00	5.12967	-2.2455	2.9095	-3.50467	0	NULL	NULL	NULL	NULL
15	2021-03-24 09:00:00	5.05867	-1.50483	2.74267	-3.95067	0	NULL	NULL	NULL	NULL
16	2021-03-24 10:00:00	4.51133	-1.44517	2.2925	-3.53733	0	NULL	NULL	NULL	NULL
17	2021-03-24 11:00:00	3.2235	-1.356	1.57767	-2.32033	0	NULL	NULL	NULL	NULL
18	2021-03-24 12:00:00	2.92617	-1.36767	0.5215	-1.77083	0	NULL	NULL	NULL	NULL
19	2021-03-24 13:00:00	1.51817	-0.00366666	-0.0701667	-0.618833	0	NULL	NULL	NULL	NULL
20	2021-03-24 14:00:00	1.46433	0.184667	0.780833	-0.0718333	0	NULL	NULL	NULL	NULL
21	2021-03-24 15:00:00	3.26117	2.27317	-0.492167	1.8465	0	NULL	NULL	NULL	NULL
22	2021-03-24 16:00:00	2.58783	1.448	0.181667	0.390167	0	NULL	NULL	NULL	NULL
23	2021-03-24 17:00:00	3.58783	3.2275	-0.586833	0.928833	0	NULL	NULL	NULL	NULL
24	2021-03-24 18:00:00	4.165	3.21417	-1.22517	1.45817	0	NULL	NULL	NULL	NULL
25	2021-03-24 19:00:00	6.67883	-1.15117	0.572833	-4.72867	0	NULL	NULL	NULL	NULL
26	2021-03-24 20:00:00	7.8115	-3.78583	5.0875	-4.406	0	NULL	NULL	NULL	NULL
27	2021-03-24 21:00:00	7.78267	-3.09833	5.8365	-3.97717	0	NULL	NULL	NULL	NULL
28	2021-03-24 22:00:00	7.5285	-2.54433	5.14367	-4.79917	0	NULL	NULL	NULL	NULL
29	2021-03-24 23:00:00	7.26833	-3.24417	5.3965	-3.48383	0	NULL	NULL	NULL	NULL
30	2021-03-25 00:00:00	6.17567	-3.13367	4.23983	-2.91783	0	NULL	NULL	NULL	NULL
31	2021-03-25 01:00:00	5.69067	-3.56383	2.90017	-2.6845	0	NULL	NULL	NULL	NULL
32	2021-03-25 02:00:00	5.22217	2.40633	0.208667	1.17117	0	NULL	NULL	NULL	NULL
33	2021-03-25 03:00:00	5.48267	-3.9365	2.00767	-2.9975	0	NULL	NULL	NULL	NULL
34	2021-03-25 04:00:00	5.0815	-1.424	3.56917	-2.00133	0	NULL	NULL	NULL	NULL
35	2021-03-25 05:00:00	5.47317	-3.9355	1.51933	-2.72717	0	NULL	NULL	NULL	NULL
36	2021-03-25 06:00:00	4.46617	-3.06967	-0.339833	-2.9965	0	NULL	NULL	NULL	NULL
37	2021-03-25 07:00:00	5.68667	-4.838	2.62233	-0.801833	0	NULL	NULL	NULL	NULL
38	2021-03-25 08:00:00	4.69683	-3.46533	0.761	-1.2995	0	NULL	NULL	NULL	NULL
39	2021-03-25 09:00:00	4.0385	-2.7085	0.258833	-0.910667	0	NULL	NULL	NULL	NULL
40	2021-03-25 10:00:00	3.678	-2.75533	-0.970167	-1.44733	0	NULL	NULL	NULL	NULL
41	2021-03-25 11:00:00	5.95667	-0.135333	2.121	-3.82183	0	NULL	NULL	NULL	NULL
42	2021-03-25 12:00:00	5.5855	1.38367	0.474667	-2.37017	0	NULL	NULL	NULL	NULL
43	2021-03-25 13:00:00	4.99133	0.1215	-3.8395	0.367167	0	NULL	NULL	NULL	NULL
44	2021-03-25 14:00:00	5.07017	-0.0146667	-1.29333	2.75883	0	NULL	NULL	NULL	NULL
45	2021-03-25 15:00:00	5.669	0.106167	2.93583	4.00933	0	NULL	NULL	NULL	NULL
46	2021-03-25 16:00:00	5.80283	1.7925	1.41233	4.60017	0	NULL	NULL	NULL	NULL
47	2021-03-25 17:00:00	6.15333	1.9325	0.7165	4.48133	0	NULL	NULL	NULL	NULL
48	2021-03-25 18:00:00	5.3705	0.561167	2.39267	3.502	0	NULL	NULL	NULL	NULL
49	2021-03-25 19:00:00	5.6915	2.68583	-1.06933	1.99283	0	NULL	NULL	NULL	NULL
50	2021-03-25 20:00:00	5.124	1.117	3.16467	0.6765	0	NULL	NULL	NULL	NULL
51	2021-03-25 21:00:00	5.60183	2.82967	2.65583	-0.980833	0	NULL	NULL	NULL	NULL
52	2021-03-25 22:00:00	4.46967	1.22583	1.83783	-2.00717	0	NULL	NULL	NULL	NULL
53	2021-03-25 23:00:00	3.80667	1.78533	0.699	-2.5515	0	NULL	NULL	NULL	NULL
54	2021-03-26 00:00:00	3.63333	1.58017	-0.658167	-1.756	0	NULL	NULL	NULL	NULL
55	2021-03-26 01:00:00	3.63267	2.048	0.146	-1.40867	0	NULL	NULL	NULL	NULL
56	2021-03-26 02:00:00	3.73433	1.022	0.453167	-2.706	0	NULL	NULL	NULL	NULL
57	2021-03-26 03:00:00	4.002	0.705667	0.179333	-3.0835	0	NULL	NULL	NULL	NULL
58	2021-03-26 04:00:00	4.30867	-0.603667	0.716833	-3.95083	0	NULL	NULL	NULL	NULL
59	2021-03-26 05:00:00	4.26283	-0.149833	0.711333	-3.64183	0	NULL	NULL	NULL	NULL
60	2021-03-26 06:00:00	4.38417	-0.690833	0.771	-3.51367	0	NULL	NULL	NULL	NULL
61	2021-03-26 07:00:00	3.932	1.16717	0.105667	-2.824	0	NULL	NULL	NULL	NULL
62	2021-03-26 08:00:00	4.01817	1.677	0.197833	-2.70033	0	NULL	NULL	NULL	NULL
63	2021-03-26 09:00:00	3.88383	1.75733	-1.00917	-3.06467	0	NULL	NULL	NULL	NULL
64	2021-03-26 10:00:00	4.2635	2.64533	-0.1225	-3.17317	0	NULL	NULL	NULL	NULL
65	2021-03-26 11:00:00	4.40475	2.57644	-1.42085	-3.20136	0	NULL	NULL	NULL	NULL
66	2021-03-26 12:00:00	4.33083	2.449	-1.60983	-3.12567	0	NULL	NULL	NULL	NULL
67	2021-03-26 13:00:00	4.29117	2.40717	-1.66683	-3.01533	0	NULL	NULL	NULL	NULL
68	2021-03-26 14:00:00	4.38033	3.00583	2.11933	-2.29433	0	NULL	NULL	NULL	NULL
69	2021-03-26 15:00:00	4.6365	3.22133	1.1555	-3.05117	0	NULL	NULL	NULL	NULL
70	2021-03-26 16:00:00	4.4505	3.4095	0.285833	-2.64833	0	NULL	NULL	NULL	NULL
71	2021-03-26 17:00:00	4.49333	3.1755	-0.8855	-3.0005	0	NULL	NULL	NULL	NULL
72	2021-03-26 18:00:00	4.28067	3.55517	-0.658833	-2.17517	0	NULL	NULL	NULL	NULL
73	2021-03-26 19:00:00	4.64034	3.65644	-0.597288	-2.73407	0	NULL	NULL	NULL	NULL
74	2021-03-26 20:00:00	4.60033	4.06283	0.104167	-1.66483	0	NULL	NULL	NULL	NULL
75	2021-03-26 21:00:00	5.07983	4.54867	0.7205	-0.7995	0	NULL	NULL	NULL	NULL
76	2021-03-26 22:00:00	5.71633	5.02733	2.04017	1.6875	0	NULL	NULL	NULL	NULL
77	2021-03-26 23:00:00	5.93833	5.48683	1.34783	1.7355	0	NULL	NULL	NULL	NULL
78	2021-03-27 00:00:00	6.21667	5.5435	1.2815	2.4595	0	NULL	NULL	NULL	NULL
79	2021-03-27 01:00:00	6.26933	5.37867	1.1915	2.90467	0	NULL	NULL	NULL	NULL
80	2021-03-27 02:00:00	6.168	4.9405	1.02517	2.79133	0	NULL	NULL	NULL	NULL
81	2021-03-27 03:00:00	5.60317	5.12583	-2.0285	-0.332	0	NULL	NULL	NULL	NULL
82	2021-03-27 04:00:00	6.10017	5.59917	-2.1375	-0.5705	0	NULL	NULL	NULL	NULL
83	2021-03-27 05:00:00	6.41767	5.6875	-2.9225	0.120333	0	NULL	NULL	NULL	NULL
84	2021-03-27 06:00:00	6.64833	5.72367	-3.259	-0.678167	0	NULL	NULL	NULL	NULL
85	2021-03-27 07:00:00	6.52733	5.15517	-3.883	-0.759167	0	NULL	NULL	NULL	NULL
86	2021-03-27 08:00:00	6.39433	5.60617	-2.8905	0.205333	0	NULL	NULL	NULL	NULL
87	2021-03-27 09:00:00	6.19467	5.71017	-2.20817	0.805167	0	NULL	NULL	NULL	NULL
88	2021-03-27 10:00:00	6.1615	5.70617	-1.72867	1.40867	0	NULL	NULL	NULL	NULL
89	2021-03-27 11:00:00	6.2395	5.50467	-2.71133	0.910667	0	NULL	NULL	NULL	NULL
90	2021-03-27 12:00:00	5.95667	5.05833	-2.84667	-0.576	0	NULL	NULL	NULL	NULL
91	2021-03-27 13:00:00	5.91667	4.2825	-3.808	-1.04467	0	NULL	NULL	NULL	NULL
92	2021-03-27 14:00:00	5.37883	4.57717	-2.58083	1.00517	0	NULL	NULL	NULL	NULL
93	2021-03-27 15:00:00	4.83983	3.91683	-2.514	1.2165	0	NULL	NULL	NULL	NULL
94	2021-03-27 16:00:00	4.8075	3.54783	-2.428	1.6455	0	NULL	NULL	NULL	NULL
95	2021-03-27 17:00:00	5.64881	4.45051	-1.25305	2.77763	0	NULL	NULL	NULL	NULL
96	2021-03-27 18:00:00	6.50883	1.509	-5.2295	0.436167	0	NULL	NULL	NULL	NULL
97	2021-03-27 19:00:00	4.94967	0.970333	-2.89383	1.27483	0	NULL	NULL	NULL	NULL
98	2021-03-27 20:00:00	4.35483	-0.304667	-2.93483	-0.600833	0	NULL	NULL	NULL	NULL
99	2021-03-27 21:00:00	6.09433	-0.009	0.655833	-5.49333	0	NULL	NULL	NULL	NULL
100	2021-03-27 22:00:00	6.55433	-2.1815	-3.34233	-1.74783	0	NULL	NULL	NULL	NULL
101	2021-03-27 23:00:00	5.42254	-3.10966	-3.46915	0.303898	0	NULL	NULL	NULL	NULL
102	2021-03-28 00:00:00	5.9545	-0.518167	-3.2635	-1.32217	0	NULL	NULL	NULL	NULL
103	2021-03-28 01:00:00	5.2545	0.3725	-4.8415	0.462	0	NULL	NULL	NULL	NULL
104	2021-03-28 02:00:00	6.03483	1.82333	-5.12383	1.10283	0	NULL	NULL	NULL	NULL
105	2021-03-28 03:00:00	5.616	-0.583	-5.2	1.515	0	NULL	NULL	NULL	NULL
106	2021-03-28 04:00:00	3.6085	0.0686667	-2.69817	1.4495	0	NULL	NULL	NULL	NULL
107	2021-03-28 05:00:00	3.8995	-3.716	-0.402	-0.882667	0	NULL	NULL	NULL	NULL
108	2021-03-28 06:00:00	3.27467	-3.23433	-0.195333	-0.0273333	0	NULL	NULL	NULL	NULL
109	2021-03-28 07:00:00	1.97917	0.5645	-0.133833	0.773	0	NULL	NULL	NULL	NULL
110	2021-03-28 08:00:00	2.23683	2.101	-0.182167	0.630333	0	NULL	NULL	NULL	NULL
111	2021-03-28 09:00:00	2.55517	-1.55633	0.418167	-0.376667	0	NULL	NULL	NULL	NULL
112	2021-03-28 10:00:00	3.00333	-2.74367	-0.163333	-0.452167	0	NULL	NULL	NULL	NULL
113	2021-03-28 11:00:00	3.29667	-3.01833	-0.8045	0.545833	0	NULL	NULL	NULL	NULL
114	2021-03-28 12:00:00	2.7525	-2.3665	-0.121167	0.192667	0	NULL	NULL	NULL	NULL
115	2021-03-28 13:00:00	2.56067	1.02933	-1.18317	-1.586	0	NULL	NULL	NULL	NULL
116	2021-03-28 14:00:00	2.64533	1.423	-1.944	-0.264333	0	NULL	NULL	NULL	NULL
117	2021-03-28 15:00:00	2.49733	0.209	-1.92317	-0.567167	0	NULL	NULL	NULL	NULL
118	2021-03-28 16:00:00	2.32133	0.436667	-1.63983	0.0161667	0	NULL	NULL	NULL	NULL
119	2021-03-28 17:00:00	2.14117	-0.605667	-1.348	0.459667	0	NULL	NULL	NULL	NULL
120	2021-03-28 18:00:00	1.93233	0.663333	-0.998333	0.800667	0	NULL	NULL	NULL	NULL
121	2021-03-28 19:00:00	1.912	0.762833	-0.835667	0.196667	0	NULL	NULL	NULL	NULL
122	2021-03-28 20:00:00	2.21567	1.46483	-0.691167	-0.0973333	0	NULL	NULL	NULL	NULL
123	2021-03-28 21:00:00	2.34467	0.678333	-1.3875	-0.674333	0	NULL	NULL	NULL	NULL
124	2021-03-28 22:00:00	2.10433	1.157	-1.20467	-0.164	0	NULL	NULL	NULL	NULL
125	2021-03-28 23:00:00	2.71517	0.124833	-2.457	0.736	0	NULL	NULL	NULL	NULL
126	2021-03-29 00:00:00	2.837	-0.889	-1.88617	1.59217	0	NULL	NULL	NULL	NULL
127	2021-03-29 01:00:00	2.84367	0.821167	-1.00383	-2.32	0	NULL	NULL	NULL	NULL
128	2021-03-29 02:00:00	2.76783	1.49467	-0.433333	-2.0965	0	NULL	NULL	NULL	NULL
129	2021-03-29 03:00:00	2.9855	1.1755	-1.35833	-1.893	0	NULL	NULL	NULL	NULL
130	2021-03-29 04:00:00	3.0185	1.9595	-1.261	-1.85667	0	NULL	NULL	NULL	NULL
131	2021-03-29 05:00:00	3.126	1.36167	-1.73717	-1.8655	0	NULL	NULL	NULL	NULL
132	2021-03-29 06:00:00	3.18567	1.73833	-1.98917	-1.73433	0	NULL	NULL	NULL	NULL
133	2021-03-29 07:00:00	3.0225	2.16633	-1.34283	-1.56533	0	NULL	NULL	NULL	NULL
134	2021-03-29 08:00:00	3.0045	2.3795	-1.57183	-0.791667	0	NULL	NULL	NULL	NULL
135	2021-03-29 09:00:00	2.95217	1.963	-1.65133	-0.832833	0	NULL	NULL	NULL	NULL
136	2021-03-29 10:00:00	2.967	2.2635	-1.40117	-1.05833	0	NULL	NULL	NULL	NULL
137	2021-03-29 11:00:00	3.23133	2.57	-1.326	-1.34717	0	NULL	NULL	NULL	NULL
138	2021-03-29 12:00:00	3.315	2.49517	-1.45733	-1.57983	0	NULL	NULL	NULL	NULL
139	2021-03-29 13:00:00	3.31567	2.65583	-0.9735	-1.67867	0	NULL	NULL	NULL	NULL
140	2021-03-29 14:00:00	3.748	3.181	-0.358167	-1.76333	0	NULL	NULL	NULL	NULL
141	2021-03-29 15:00:00	3.98417	3.40717	-0.507833	-1.76967	0	NULL	NULL	NULL	NULL
142	2021-03-29 16:00:00	4.12	3.71733	-1.06533	-1.17033	0	NULL	NULL	NULL	NULL
143	2021-03-29 17:00:00	3.83483	3.05917	-1.74667	-1.1215	0	NULL	NULL	NULL	NULL
144	2021-03-29 18:00:00	3.58767	2.73933	-1.769	-1.08767	0	NULL	NULL	NULL	NULL
145	2021-03-29 19:00:00	3.40683	2.07883	-2.3235	-1.07267	0	NULL	NULL	NULL	NULL
146	2021-03-29 20:00:00	3.41133	2.21133	-2.177	-0.590333	0	NULL	NULL	NULL	NULL
147	2021-03-29 21:00:00	3.26767	2.9725	0.0205	-1.18	0	NULL	NULL	NULL	NULL
148	2021-03-29 22:00:00	2.97267	2.704	-0.335333	-0.812667	0	NULL	NULL	NULL	NULL
149	2021-03-29 23:00:00	3.233	2.7205	-1.55467	0.270167	0	NULL	NULL	NULL	NULL
150	2021-03-30 00:00:00	3.18017	2.97983	-0.243333	-0.0368333	0	NULL	NULL	NULL	NULL
