id	ACE_date	Bmag	Bx	By	Bz	flg_knd	flg_scstrm
45073	2021-04-06 09:00:00	6.53	-2.57	-2.275	5.555	10	0
45061	2021-04-06 08:00:00	7.17467	-2.623	-3.12483	5.87067	10	0
45049	2021-04-06 07:00:00	7.38564	-3.08382	-1.344	6.21509	10	0
45037	2021-04-06 06:00:00	7.086	-2.988	-1.078	6.328	10	0
45025	2021-04-06 05:00:00	7.11	-1.95	-1.1	6.75	10	0
45013	2021-04-06 04:00:00	6.85	-2.632	1.882	6.03	10	0
45001	2021-04-06 03:00:00	8.088	-2.618	1.066	7.54	10	0
44989	2021-04-06 02:00:00	8.324	-1.824	5.894	5.568	10	0
44977	2021-04-06 01:00:00	8.968	-2.312	7.158	4.874	10	0
44965	2021-04-06 00:00:00	8.614	-1.702	6.238	5.678	10	0
44953	2021-04-05 23:00:00	8.918	-1.878	8.098	3.046	10	0
44941	2021-04-05 22:00:00	7.99	-1.51	3.832	6.808	10	0
44930	2021-04-05 21:00:00	8.602	-0.912	5.912	6.152	10	0
44917	2021-04-05 20:00:00	7.416	-1.736	4.47	5.65	10	0
44905	2021-04-05 19:00:00	7.878	-0.428	5.72	5.388	10	0
44893	2021-04-05 18:00:00	8.748	-2.026	8.016	2.82	10	0
44881	2021-04-05 17:00:00	8.6	0.46	7.35	4.43	10	0
44869	2021-04-05 16:00:00	8.472	-0.088	7.916	2.89	10	0
44857	2021-04-05 15:00:00	8.384	-0.154	8.36	0.578	10	0
44845	2021-04-05 14:00:00	8.174	2.442	7.448	2.198	10	0
44833	2021-04-05 13:00:00	8.074	0.19	6.97	-4.068	10	0
44821	2021-04-05 12:00:00	8.338	-1.31	8.058	-1.498	10	0
44809	2021-04-05 11:00:00	8.78667	-0.568333	6.90667	-5.395	10	0
44797	2021-04-05 10:00:00	8.686	-0.822	4.39	-7.314	10	0
44785	2021-04-05 09:00:00	7.73	-2.188	5.54	-3.454	10	0
44773	2021-04-05 08:00:00	5.51727	0.666364	1.55182	5.11909	10	0
44761	2021-04-05 07:00:00	6.032	-0.028	-0.423	5.99	10	0
44749	2021-04-05 06:00:00	6.498	-0.224	-2.042	6.158	10	0
44737	2021-04-05 05:00:00	5.85	0.026	-0.65	5.65	10	0
44725	2021-04-05 04:00:00	4.41	1.476	-1.714	3.76	10	0
44713	2021-04-05 03:00:00	4.464	-2.194	3.448	1.738	10	0
44701	2021-04-05 02:00:00	4.268	-2.438	3.206	1.406	10	0
44689	2021-04-05 01:00:00	3.606	-1.908	2.944	0.838	10	0
44677	2021-04-05 00:00:00	3.406	-0.13	3.23	1.05	10	0
44665	2021-04-04 23:00:00	3.198	2.412	1.564	1.394	10	0
44653	2021-04-04 22:00:00	3.53	1.168	3.202	0.848	10	0
44641	2021-04-04 21:00:00	2.74	1.726	0.63	-1.928	10	0
44629	2021-04-04 20:00:00	1.83	1.49	0.81	-0.68	10	0
44617	2021-04-04 19:00:00	0.784	0.19	0.732	-0.116	10	0
44605	2021-04-04 18:00:00	1.03333	0.966667	-0.318333	0.126667	10	0
44593	2021-04-04 17:00:00	1.294	1.178	-0.504	-0.166	10	0
44581	2021-04-04 16:00:00	1.924	1.152	-1.522	0.142	10	0
44569	2021-04-04 15:00:00	2.454	0.668	-2.352	0.02	10	0
44557	2021-04-04 14:00:00	2.24	0.142	-0.542	-2.148	10	0
44545	2021-04-04 13:00:00	0.92	-0.248	-0.356	-0.754	10	0
44533	2021-04-04 12:00:00	1.072	-0.73	-0.004	-0.614	10	0
44521	2021-04-04 11:00:00	1.122	-0.416	0.914	0.256	10	0
44509	2021-04-04 10:00:00	2.36	-2.32	0.2	-0.364	10	0
44497	2021-04-04 09:00:00	2.136	-1.518	0.326	-1.44	10	0
44485	2021-04-04 08:00:00	2.326	1.738	-1.36	-0.716	10	0
44474	2021-04-04 07:00:00	1.958	1.41	-0.856	-1.006	10	0
44461	2021-04-04 06:00:00	2.322	-1.856	1.324	-0.382	10	0
44449	2021-04-04 05:00:00	2.554	1.946	1.448	-0.716	10	0
44437	2021-04-04 04:00:00	2.738	1.698	1.79	-1.186	10	0
44425	2021-04-04 03:00:00	2.808	2.474	0.776	-1.06	10	0
44413	2021-04-04 02:00:00	2.704	2.326	0.248	-1.346	10	0
44401	2021-04-04 01:00:00	2.42	2.33	0.26	-0.57	10	0
44389	2021-04-04 00:00:00	2.708	2.566	-0.494	-0.656	10	0
44377	2021-04-03 23:00:00	3.042	2.886	-0.93	0.14	10	0
44365	2021-04-03 22:00:00	2.97	1.948	-2.082	-0.774	10	0
44353	2021-04-03 21:00:00	2.694	-0.7	0.592	-2.45	10	0
44341	2021-04-03 20:00:00	2.81	-0.294	-2.7	-0.532	10	0
44329	2021-04-03 19:00:00	2.564	1.198	-1.464	-1.582	10	0
44317	2021-04-03 18:00:00	2.582	-0.59	-1.796	-1.732	10	0
44305	2021-04-03 17:00:00	2.57	1.21	-2.234	-0.234	10	0
44293	2021-04-03 16:00:00	2.548	1.012	-0.996	2.1	10	0
44281	2021-04-03 15:00:00	2.354	-0.926	-1.568	-0.946	10	0
44269	2021-04-03 14:00:00	3.22	0.878	-3.044	0.048	10	0
44257	2021-04-03 13:00:00	3.52	1.84	-2.286	1.87	10	0
44245	2021-04-03 12:00:00	2.97	2.89	-0.54	-0.38	10	0
44233	2021-04-03 11:00:00	3.242	1.53	1.946	-2.072	10	0
44221	2021-04-03 10:00:00	3.442	-2.062	-1.96	-1.916	10	0
44209	2021-04-03 09:00:00	3.84333	1.33333	-3.22667	1.56333	10	0
44197	2021-04-03 08:00:00	3.086	2.148	2.164	-0.02	10	0
44185	2021-04-03 07:00:00	2.758	0.68	-0.98	2.438	10	0
44173	2021-04-03 06:00:00	3.466	0.082	3.026	1.664	10	0
44161	2021-04-03 05:00:00	2.3	-1.35	1.73	-0.69	10	0
44149	2021-04-03 04:00:00	3.215	2.22833	1.80167	0.806667	10	0
44137	2021-04-03 03:00:00	4	3.962	0.222	0.298	10	0
44125	2021-04-03 02:00:00	3.438	0.636	3.282	-0.732	10	0
44113	2021-04-03 01:00:00	5.12	2.998	-2.866	-2.986	10	0
44101	2021-04-03 00:00:00	5.228	2.676	-3.48	-2.074	10	0
44089	2021-04-02 23:00:00	5.438	3.062	-4.302	-1.226	10	0
44077	2021-04-02 22:00:00	6.496	5.867	0.203	2.749	10	0
44065	2021-04-02 21:00:00	7.344	5.564	-0.09	4.774	10	0
44053	2021-04-02 20:00:00	8.37	7.006	-0.42	4.524	10	0
44041	2021-04-02 19:00:00	8.634	5.122	-6.64	1.846	10	0
44029	2021-04-02 18:00:00	8.47	6.578	-4.718	2.456	10	0
44017	2021-04-02 17:00:00	8.67	6.032	-4.342	4.328	10	0
44005	2021-04-02 16:00:00	8.286	1.368	-8.008	-1.45	10	0
43993	2021-04-02 15:00:00	8.246	-0.808	-6.54	-4.932	10	0
43981	2021-04-02 14:00:00	7.898	-0.564	-6.004	-5.06	10	0
43969	2021-04-02 13:00:00	6.7	1.348	-3.082	-5.72	10	0
43957	2021-04-02 12:00:00	6.58	0.453333	-6.34	-1.455	10	0
43945	2021-04-02 11:00:00	5.858	-0.886	-5.27	-2.29	10	0
43933	2021-04-02 10:00:00	5.36	0.69	-5.014	-1.644	10	0
43921	2021-04-02 09:00:00	5.056	-0.696	-4.068	-2.688	10	0
43909	2021-04-02 08:00:00	4.616	-1.604	-4.168	-0.878	10	0
43897	2021-04-02 07:00:00	4.25833	2.75	-2.71167	1.71833	10	0
43885	2021-04-02 06:00:00	4.066	3.466	-1.388	0.848	10	0
43873	2021-04-02 05:00:00	3.948	2.95	-2.568	-0.446	10	0
43861	2021-04-02 04:00:00	3.958	2.744	-2.83	0.038	10	0
43849	2021-04-02 03:00:00	3.956	3.036	-0.97	-1.92	10	0
43837	2021-04-02 02:00:00	3.386	2.746	-1.516	-0.928	10	0
43825	2021-04-02 01:00:00	3.28	0.322	-0.612	-2.206	10	0
43813	2021-04-02 00:00:00	3.62	2.92	-1.876	0.748	10	0
43801	2021-04-01 23:00:00	3.462	2.672	-0.142	2.136	10	0
43789	2021-04-01 22:00:00	3.25	0.918333	-1.46167	-2.27	10	0
43777	2021-04-01 21:00:00	3.592	0.544	-2.566	-2.43	10	0
43765	2021-04-01 20:00:00	3.832	3.002	-2.184	-0.912	10	0
43753	2021-04-01 19:00:00	4.186	-0.172	0.784	-4.09	10	0
43741	2021-04-01 18:00:00	4.878	2.872	-3.92	0.27	10	0
43729	2021-04-01 17:00:00	4.698	2.844	-3.22	-1.888	10	0
43717	2021-04-01 16:00:00	4.462	3.13	-3.094	0.726	10	0
43705	2021-04-01 15:00:00	4.832	4.26	-1.48	1.678	10	0
