:Data_list: ace_swepam_1m.txt
:Created: 2021 Jan 21 1719 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 01 21  1519   59235   55140    0        5.1      301.6     1.57e+04
2021 01 21  1520   59235   55200    0        5.4      302.8     1.87e+04
2021 01 21  1521   59235   55260    0        5.4      301.7     1.71e+04
2021 01 21  1522   59235   55320    0        5.6      301.4     1.51e+04
2021 01 21  1523   59235   55380    0        5.4      300.7     1.40e+04
2021 01 21  1524   59235   55440    0        4.8      300.4     1.20e+04
2021 01 21  1525   59235   55500    0        5.0      300.8     1.28e+04
2021 01 21  1526   59235   55560    0        5.3      300.0     1.56e+04
2021 01 21  1527   59235   55620    0        4.8      300.3     1.43e+04
2021 01 21  1528   59235   55680    0        5.6      302.1     1.41e+04
2021 01 21  1529   59235   55740    0        5.3      303.5     1.35e+04
2021 01 21  1530   59235   55800    0        5.5      300.5     1.44e+04
2021 01 21  1531   59235   55860    0        5.1      301.1     1.21e+04
2021 01 21  1532   59235   55920    0        5.7      300.0     1.09e+04
2021 01 21  1533   59235   55980    0        5.6      303.4     1.15e+04
2021 01 21  1534   59235   56040    0        5.6      302.7     1.33e+04
2021 01 21  1535   59235   56100    0        5.4      303.9     1.29e+04
2021 01 21  1536   59235   56160    0        5.4      303.5     1.36e+04
2021 01 21  1537   59235   56220    0        4.9      302.1     1.27e+04
2021 01 21  1538   59235   56280    0        5.1      300.3     1.26e+04
2021 01 21  1539   59235   56340    0        5.0      299.8     1.22e+04
2021 01 21  1540   59235   56400    0        4.8      300.0     1.30e+04
2021 01 21  1541   59235   56460    0        5.0      299.1     1.39e+04
2021 01 21  1542   59235   56520    0        5.2      298.0     1.24e+04
2021 01 21  1543   59235   56580    0        5.0      297.2     1.25e+04
2021 01 21  1544   59235   56640    0        4.6      296.5     1.22e+04
2021 01 21  1545   59235   56700    0        6.1      295.4     1.17e+04
2021 01 21  1546   59235   56760    0        6.0      295.4     1.17e+04
2021 01 21  1547   59235   56820    0        4.1      296.3     1.33e+04
2021 01 21  1548   59235   56880    0        4.0      295.3     1.10e+04
